trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,20,9.136319849411025,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-181.9572646610946,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-104.02529724709173,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-95.74706942679299,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-8.301435646954939,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-30.23250718395088,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-200.7968147512506,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-99.7125596859079,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-164.24345640811697,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,14,-10.321006272132786,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-103.59068938413962,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-77.0481573544776,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,11,-41.35249266957366,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-14.62601921449142,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,3,11.921803505981101,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-59.748565660182074,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,11,19.145452492567973,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,13,-39.982024000863404,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-72.60603849926184,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,15.061052757073936,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,13,-23.749963394234708,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",30,16,4.712991583744033,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-76.4138230631624,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-86.45072427689483,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,8,13.552196390002646,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,0,-92.85613893486287,"{0: 29, 1: 0, 2: 1, 3: 4, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,21,15.907757500214869,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-21.132933463695675,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,12,4.542589864833238,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-161.66372096191668,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
