trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7063993204979744, 'e': 0.998}",20,0,-110.3350117744117,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.7056925676241744, 'e': 0.996004}",20,0,-185.64813250601168,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.7049865218569785, 'e': 0.994011992}",20,2,-96.05999650245556,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 1}",1
4,False,"{'a': 0.7042811824889261, 'e': 0.992023968016}",20,0,-101.45239497742276,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.7035765488132645, 'e': 0.990039920079968}",20,0,-125.48214548793669,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
6,False,"{'a': 0.7028726201239482, 'e': 0.9880598402398081}",30,0,-264.85129209121703,"{0: 15, 1: 3, 2: 6, 3: 2, 4: 4}",0
7,False,"{'a': 0.702169395715638, 'e': 0.9860837205593285}",25,0,-136.59865328627222,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.7014668748837004, 'e': 0.9841115531182099}",25,0,-116.42133640630706,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.7007650569242068, 'e': 0.9821433300119734}",20,0,-154.0713140900862,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
10,False,"{'a': 0.700063941133933, 'e': 0.9801790433519495}",20,0,-35.35265427308826,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.6993635268103583, 'e': 0.9782186852652456}",20,0,-81.5947845417674,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.698663813251665, 'e': 0.976262247894715}",20,0,-70.00348265717925,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.6979647997567376, 'e': 0.9743097233989256}",20,4,-100.07972050779232,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 1}",1
14,False,"{'a': 0.6972664856251618, 'e': 0.9723611039521278}",30,0,-158.69478409866537,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.6965688701572241, 'e': 0.9704163817442236}",20,0,-181.8372305238619,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
16,False,"{'a': 0.6958719526539114, 'e': 0.9684755489807352}",25,0,-212.43752061547409,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
