trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",30,0,-175.55667074023629,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.81}",30,0,-237.98992088088983,"{0: 12, 1: 5, 2: 9, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",20,1,-116.76913098788127,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.6561000000000001}",20,11,-65.77922629338784,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.5904900000000002}",25,0,-196.25674351582327,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.5314410000000002}",20,0,-52.90238148810643,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.47829690000000014}",30,0,-115.04081242072603,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.43046721000000016}",35,18,-117.00666578594829,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.38742048900000015}",25,0,-159.8364471355754,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.34867844010000015}",30,0,-144.81055770435034,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.31381059609000017}",25,0,-85.96593710553707,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.28242953648100017}",20,0,-62.00696033887796,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.25418658283290013}",20,0,-67.00732528301033,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.22876792454961012}",30,0,-142.72018439204538,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.2058911320946491}",25,0,-116.80238043678627,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.1853020188851842}",20,0,-157.79492438968887,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",25,0,-148.7474643553309,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.1500946352969992}",30,14,-8.041032236101213,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.13508517176729928}",25,0,-86.85984198485662,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.12157665459056936}",20,0,-139.7996692173702,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-66.45930571577954,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-200.19889835774495,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-53.09496385727582,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-139.0338910252017,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-136.95821782600635,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-175.24076359595418,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-130.5666698534256,"{0: 17, 1: 3, 2: 7, 3: 3, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,-163.54644453630956,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-145.98390980639263,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-163.31405814933552,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
